Treatment,Accuracy,EOD,AOD
None,0.67 \pm 0.00,0.23 \pm 0.03,0.30 \pm 0.03
FERMI,0.66 \pm 0.01,0.12 \pm 0.04,0.09 \pm 0.03
Reweighing,0.66 \pm 0.01,0.09 \pm 0.03,0.06 \pm 0.03
GroupClassBalance,0.66 \pm 0.00,0.07 \pm 0.03,0.06 \pm 0.03
ClassBalance,0.67 \pm 0.01,0.27 \pm 0.03,0.34 \pm 0.03
GroupEqual,0.66 \pm 0.01,0.19 \pm 0.03,0.26 \pm 0.04
GroupBalanceEqual,0.66 \pm 0.01,0.09 \pm 0.03,0.09 \pm 0.02
FairBalance,0.66 \pm 0.01,0.09 \pm 0.05,0.08 \pm 0.04
