Treatment,Accuracy,EOD,AOD
None,0.82 \pm 0.03,0.11 \pm 0.09,0.10 \pm 0.08
FERMI,0.82 \pm 0.02,0.08 \pm 0.05,0.07 \pm 0.05
Reweighing,0.82 \pm 0.02,0.07 \pm 0.05,0.07 \pm 0.06
GroupClassBalance,0.83 \pm 0.02,0.07 \pm 0.07,0.06 \pm 0.05
ClassBalance,0.83 \pm 0.02,0.12 \pm 0.07,0.09 \pm 0.05
GroupEqual,0.81 \pm 0.03,0.12 \pm 0.11,0.10 \pm 0.06
GroupBalanceEqual,0.81 \pm 0.03,0.07 \pm 0.08,0.07 \pm 0.05
FairBalance,0.80 \pm 0.03,0.10 \pm 0.08,0.08 \pm 0.04
