Treatment,Accuracy,EOD,AOD
None,0.90 \pm 0.00,0.12 \pm 0.04,0.09 \pm 0.02
Reweighing,0.90 \pm 0.00,0.09 \pm 0.03,0.04 \pm 0.02
GroupClassBalance,0.84 \pm 0.00,0.06 \pm 0.04,0.02 \pm 0.01
ClassBalance,0.84 \pm 0.00,0.10 \pm 0.02,0.17 \pm 0.02
GroupEqual,0.90 \pm 0.00,0.12 \pm 0.04,0.08 \pm 0.02
GroupBalanceEqual,0.90 \pm 0.00,0.06 \pm 0.03,0.03 \pm 0.02
FairBalance,0.83 \pm 0.00,0.05 \pm 0.03,0.02 \pm 0.02
