tpr,fpr,prec,acc,f1,age: eod,age: aod,Favor,Preprocessing
42 (1),3 (0),66 (2),90 (0),52 (1),7 (6),5 (4),None,None
87 (1),15 (0),45 (0),85 (0),59 (0),-4 (6),0 (3),None,FairBalanceClass
86 (1),14 (0),45 (0),85 (0),59 (0),4 (3),8 (2),Young (0.1),FairBalanceClass
94 (1),22 (0),37 (1),79 (0),53 (1),-16 (7),-10 (4),Old (0.1),FairBalanceClass
84 (2),14 (0),45 (1),85 (0),59 (0),9 (3),12 (2),Young (0.2),FairBalanceClass
95 (0),26 (0),34 (0),76 (0),50 (0),-18 (7),-13 (3),Old (0.2),FairBalanceClass
84 (1),14 (0),46 (1),85 (0),59 (1),11 (4),15 (2),Young (0.3),FairBalanceClass
95 (0),28 (0),32 (1),74 (0),48 (1),-19 (4),-15 (3),Old (0.3),FairBalanceClass
83 (1),13 (0),46 (1),85 (0),59 (1),12 (2),16 (2),Young (0.4),FairBalanceClass
95 (0),29 (1),31 (1),73 (0),47 (1),-22 (9),-17 (4),Old (0.4),FairBalanceClass
