Treatment,Accuracy,EOD,AOD
None,0.85 \pm 0.00,0.17 \pm 0.05,0.13 \pm 0.02
FERMI,0.84 \pm 0.00,0.23 \pm 0.04,0.12 \pm 0.02
Reweighing,0.84 \pm 0.00,0.17 \pm 0.03,0.08 \pm 0.01
GroupClassBalance,0.82 \pm 0.00,0.07 \pm 0.02,0.04 \pm 0.01
ClassBalance,0.81 \pm 0.00,0.24 \pm 0.04,0.25 \pm 0.02
GroupEqual,0.85 \pm 0.00,0.20 \pm 0.06,0.15 \pm 0.03
GroupBalanceEqual,0.84 \pm 0.00,0.15 \pm 0.04,0.07 \pm 0.02
FairBalance,0.81 \pm 0.00,0.08 \pm 0.02,0.05 \pm 0.02
