Treatment,Accuracy,EOD,AOD,Diff
None,"[0.6913272374619008, 0.7018564699362705, 0.7110002770850651, 0.7101690218897202, 0.7115544472152951, 0.713216957605985, 0.7046273205874204, 0.6993627043502355, 0.7004710446106955, 0.7107231920199502, 0.7060127459129953, 0.7026877251316154, 0.7021335550013854, 0.7021335550013854, 0.6977001939595456, 0.7073981712385703, 0.6954835134386257, 0.7018564699362705, 0.6985314491548905, 0.7015793848711555, 0.7037960653920754, 0.6993627043502355, 0.7043502355223054, 0.7062898309781103, 0.6977001939595456, 0.7085065114990302, 0.7068440011083402, 0.7134940426711001, 0.6988085342200056, 0.7098919368246052, 0.7057356608478803, 0.6999168744804655, 0.7046273205874204, 0.7065669160432253, 0.717096148517595, 0.7098919368246052, 0.7096148517594901, 0.7046273205874204, 0.7101690218897202, 0.7112773621501801, 0.7101690218897202, 0.7090606816292602, 0.7032418952618454, 0.7018564699362705, 0.7049044056525353, 0.7121086173455251, 0.7051814907176503, 0.7026877251316154, 0.6982543640897756, 0.7104461069548351]","[0.24134791545645462, 0.19996509530919737, 0.21196067404836239, 0.21154318781000037, 0.2041925465838509, 0.1931833415255373, 0.21873743241431698, 0.22636735332231106, 0.2222536795361555, 0.1771750301622056, 0.20845994012243618, 0.18556109290465206, 0.21709942019430284, 0.16600942848205902, 0.22119490391514285, 0.24634702176147283, 0.24073765246562862, 0.19494280352115823, 0.18539702399571023, 0.21124715134724525, 0.22607131685955584, 0.20243308458823006, 0.21640908297620665, 0.21881750664158706, 0.2270550136710039, 0.1913901762686886, 0.22460789132669023, 0.1804378599546239, 0.2040605790300375, 0.1972943384422896, 0.2083035435006032, 0.2133026498056214, 0.19723477282863733, 0.1914056894646008, 0.2094876893516242, 0.19482634916325703, 0.19039613030072833, 0.24575494883596227, 0.19516376117434897, 0.20096965905536446, 0.1859140181116562, 0.19788641136780016, 0.22387617856025732, 0.20640444166406002, 0.2476708074534162, 0.19112784306716113, 0.2323942088565173, 0.2239562527875274, 0.21608986103043037, 0.22460789132669023]","[0.31497909367988886, 0.2996580613199855, 0.3260534183225561, 0.2791754206925128, 0.3030529701700725, 0.26751312091382606, 0.3257936910309249, 0.31457340475783224, 0.2760748123274288, 0.2655160145775781, 0.31213027217602163, 0.2444254921633615, 0.323248541209441, 0.29489796701041515, 0.26354302585590983, 0.3085914363590848, 0.29862757678115637, 0.2983576051845469, 0.318584715421823, 0.3029498596615381, 0.2719430098899994, 0.3111309430997544, 0.321908252535162, 0.30128423608901433, 0.2901051500095826, 0.2899514681100066, 0.340778265905037, 0.27838386962457196, 0.29219990793501704, 0.2796038660992919, 0.33359789461032174, 0.28998465823614394, 0.29364329170541703, 0.2627530266042556, 0.31372168959021285, 0.28252347085571117, 0.276084268574332, 0.3498412206415461, 0.28864066203268257, 0.2929168536968665, 0.2664358833250151, 0.2918435077987036, 0.32285953943118595, 0.28653555416536336, 0.28821103313254903, 0.30497479766651103, 0.29809035719764443, 0.3058351253867143, 0.31795933132085463, 0.28473596983252936]","[0.1949120972017251, 0.17734586563122376, 0.20164271488544697, 0.16975556287879873, 0.1845063258492972, 0.15719699683349334, 0.20453698795008096, 0.1945216568996891, 0.15571045806886075, 0.15214992907598182, 0.19236886220681157, 0.13930676929488042, 0.1980033814279369, 0.16721232788388518, 0.15775165769895452, 0.19855143065923517, 0.19392197477601147, 0.1767978163999255, 0.1888477354462482, 0.182235324459473, 0.16439685928388234, 0.18892653991087932, 0.19659564712793548, 0.1850149728482799, 0.17069405241213303, 0.16983436734342985, 0.2172531629246486, 0.15911337813247747, 0.16885647557778002, 0.1678391815798146, 0.2061417334116602, 0.1737065321737137, 0.17523247317066182, 0.14932037407003396, 0.19702548966228706, 0.16776037711518346, 0.16212585789405815, 0.2278559454386543, 0.16928631811213157, 0.17832375739687362, 0.14459902855587237, 0.17574112016964452, 0.20305044918544837, 0.1711238949464846, 0.18337082515438513, 0.18282277592308685, 0.18642270714828135, 0.20115089043866208, 0.19651684266330433, 0.17593813133122232]"
FERMI,"[0.6716541978387365, 0.6796896647270713, 0.6716541978387365, 0.6769188140759214, 0.6705458575782766, 0.6783042394014963, 0.6805209199224161, 0.6799667497921862, 0.6716541978387365, 0.6705458575782766, 0.6724854530340815, 0.6688833471875866, 0.6716541978387365, 0.6816292601828762, 0.6738708783596564, 0.6688833471875866, 0.6699916874480466, 0.6893876420060959, 0.6760875588805764, 0.6702687725131615, 0.6680520919922416, 0.6672208367968967, 0.6677750069271267, 0.6694375173178165, 0.6741479634247715, 0.6785813244666112, 0.6788584095317263, 0.6647270712108617, 0.6733167082294265, 0.6741479634247715, 0.6691604322527016, 0.6747021335550014, 0.6810750900526462, 0.6758104738154613, 0.6694375173178165, 0.6727625380991965, 0.6702687725131615, 0.6730396231643114, 0.6771958991410363, 0.6719312829038515, 0.6766417290108063, 0.6691604322527016, 0.6835688556386811, 0.6711000277085065, 0.6616791354945969, 0.6747021335550014, 0.6852313660293711, 0.6852313660293711, 0.6661124965364367, 0.6713771127736216]","[0.11053889807408723, 0.10379708655435893, 0.1579368334700575, 0.10217726439966046, 0.10041780240403941, 0.1111309709995979, 0.12581549667098624, 0.09747419455739759, 0.12229657267974436, 0.08811664953751286, 0.1312502792796818, 0.12986054142739956, 0.12608695652173918, 0.09849691675231242, 0.12865053322395414, 0.12581549667098624, 0.11275079315429637, 0.14450369155045129, 0.1390689089417556, 0.1008534787077171, 0.12744052502050862, 0.14668327449841367, 0.08909580410205997, 0.09454734349166627, 0.08616895303632865, 0.061050538451226544, 0.07749452611823582, 0.11732977850697301, 0.09674248179096478, 0.15582444626743241, 0.10525020508613625, 0.09277112471513471, 0.1111361771944217, 0.11201908038786357, 0.1183252156039144, 0.11862125206666974, 0.09496626301443312, 0.1328701014343805, 0.11994503775861298, 0.08014209750212253, 0.08792841503194959, 0.11921332499218018, 0.10646021328958166, 0.03079337772018409, 0.13346217435989105, 0.11862125206666974, 0.057592497430627, 0.0764667768890478, 0.177563576702215, 0.09644644532820945]","[0.08692604521025615, 0.03233660974243635, 0.09512117070712645, 0.05663243884635594, 0.0347456585031275, 0.05812339083716056, 0.07744450563660088, 0.04377737925251546, 0.05367094495014413, 0.043039474063821914, 0.05969361899532932, 0.0760009017049369, 0.05464586661345894, 0.041537064019385506, 0.07932526661197703, 0.10401080120317208, 0.060408629205546904, 0.09725184577522561, 0.04303697776280324, 0.03646844887588607, 0.09926352266032024, 0.054857246514060876, 0.052715072242369376, 0.0595713699753897, 0.069802433688816, 0.06056555119942997, 0.05979459437835255, 0.07100666583507131, 0.05740447352388123, 0.0910191560774386, 0.09456835724867396, 0.08897871442201855, 0.05390142193054426, 0.05849695207711414, 0.04016551549865233, 0.05737205604340534, 0.05464325235313794, 0.07050353007267862, 0.06048107879874254, 0.0521606761428034, 0.05298482930905135, 0.12277891714520106, 0.04174258067790948, 0.03701803830621486, 0.08970467596390486, 0.040861482025278506, 0.047847576761637756, 0.04572831808738087, 0.12544845501777413, 0.043298751365011046]","[0.19429957159027408, 0.1494992334474804, 0.20670052870631728, 0.16933646640780595, 0.15419526313527143, 0.1714498588683679, 0.18706030690756953, 0.15779519436046596, 0.17086240740475406, 0.15075294083933918, 0.17755362285616036, 0.1926554238963793, 0.17129224993910563, 0.1513797945352686, 0.1825612883813563, 0.20278896164371785, 0.17387488716633473, 0.18279411975413007, 0.16378075165131173, 0.15223947960397174, 0.20231971687705072, 0.17986044445718052, 0.16511326350780164, 0.16870961271187654, 0.15262991990600777, 0.16025962489074835, 0.16237301735131032, 0.18983995529637643, 0.1678105254108578, 0.20779662716891378, 0.19891679681343402, 0.18960354190248307, 0.15482211683120084, 0.17125284770679008, 0.16100468528362444, 0.172975799865316, 0.16616995973808263, 0.18706030690756953, 0.17387488716633473, 0.16088647858667776, 0.14715300961414468, 0.20662172424168612, 0.15576060636453512, 0.13874242402533205, 0.19617655065694267, 0.16088647858667776, 0.14637212901007263, 0.14511842161821387, 0.21276489046179414, 0.15885189059074695]"
Reweighing,"[0.7060127459129953, 0.6896647270712108, 0.6996397894153505, 0.7032418952618454, 0.6896647270712108, 0.7026877251316154, 0.7024106400665004, 0.7024106400665004, 0.6999168744804655, 0.7021335550013854, 0.7021335550013854, 0.7029648101967304, 0.6996397894153505, 0.7101690218897202, 0.7046273205874204, 0.6946522582432807, 0.713771127736215, 0.6918814075921308, 0.6916043225270158, 0.6838459407037961, 0.6891105569409809, 0.7010252147409255, 0.6954835134386257, 0.6893876420060959, 0.6957605985037406, 0.6943751731781657, 0.6924355777223608, 0.6977001939595456, 0.6888334718758659, 0.6974231088944306, 0.6932668329177057, 0.6971460238293156, 0.686062621224716, 0.6952064283735107, 0.6924355777223608, 0.7024106400665004, 0.6965918536990856, 0.6996397894153505, 0.6904959822665558, 0.6990856192851206, 0.7040731504571903, 0.6921584926572458, 0.7010252147409255, 0.7040731504571903, 0.6968689387642006, 0.7029648101967304, 0.6927126627874758, 0.6916043225270158, 0.6957605985037406, 0.6916043225270158]","[0.10192780968006565, 0.11989335520918787, 0.04682682425488183, 0.11597368068278291, 0.1262305168170632, 0.08728465955701403, 0.1295529122231337, 0.12290812141099261, 0.10902378999179663, 0.11536095159967186, 0.06886792452830193, 0.11868334700574246, 0.030201304794673645, 0.03183453237410072, 0.045016406890894256, 0.06343314191960625, 0.07852748154224776, 0.07749452611823582, 0.0927194421657096, 0.058995039992850384, 0.11445857260049219, 0.06470910228339066, 0.13710008203445445, 0.12744052502050862, 0.11702214930270716, 0.10902378999179663, 0.0771984896554806, 0.08683347005742414, 0.08305988515176377, 0.06841673502871215, 0.12910172272354392, 0.14208367514356035, 0.08184987694831836, 0.09150943396226419, 0.07749452611823582, 0.05913467983377274, 0.0714676705840297, 0.14132485643970472, 0.10992616899097629, 0.07690245319272537, 0.08306894856785385, 0.07520508613617727, 0.1278917145200985, 0.14872846595570144, 0.06177194421657095, 0.08447204968944089, 0.11023379819524204, 0.070980311730927, 0.12200574241181295, 0.10646021328958166]","[0.07096390484003279, 0.05828001093792734, 0.012610720303305567, 0.041340314661633126, 0.059781925075198306, 0.06864232977850704, 0.07810978944490021, 0.08645406070549633, 0.04117856166256495, 0.06878425426774493, 0.034433962264150964, 0.07267500683620454, 0.025540566770186235, 0.026984550177741373, 0.04417487011211385, 0.05338323762646979, 0.0421076201707099, 0.0166677061608298, 0.10135972108285474, 0.0066880175983435874, 0.10222928630024608, 0.03482430954334159, 0.07521670768389388, 0.07705359584358773, 0.06684440798468694, 0.045744749550763686, 0.0286576257861636, 0.037314173880913626, 0.07819660924254856, 0.044208367514356084, 0.11288419469510524, 0.06437517090511358, 0.041258142407906595, 0.0507547169811321, 0.04442302433688816, 0.02358195754716985, 0.07460418375717803, 0.1406624282198523, 0.04800300426774484, 0.034334153677878176, 0.015055318322981459, 0.05759995507637017, 0.06894585726004931, 0.05103089964451735, 0.05088597210828549, 0.020844440114718754, 0.07511689909762098, 0.035490155865463446, 0.09766953787257315, 0.03169025157232708]","[0.13345894287392718, 0.15724714512916768, 0.11080624131359879, 0.15055592967776138, 0.14316263808691415, 0.12289556259223705, 0.1703143581734558, 0.1446491768515467, 0.14108864785866776, 0.1159321135357414, 0.11327067184388119, 0.15622985113120227, 0.09523519550671271, 0.11084564354591434, 0.10928030031665067, 0.11996188729528749, 0.11691000530139126, 0.12645609158511598, 0.16221540842204804, 0.11784849483472554, 0.16620577994927857, 0.1054235252301168, 0.14097044116172108, 0.16331150688464457, 0.1308763056466981, 0.12453971028613185, 0.12004069175991862, 0.1441799320848796, 0.14922699984239107, 0.12845127734873124, 0.1768085624632843, 0.1577163898958348, 0.1237588296820598, 0.11440617253879329, 0.12802143481437966, 0.12136962159528893, 0.14515782385052942, 0.16616637771696302, 0.12708294528104538, 0.12853008181336237, 0.12097918129325291, 0.09746679466422133, 0.13815497256171821, 0.1606106629604688, 0.12657429828206268, 0.10650065192784378, 0.15302036020804377, 0.10881105554998352, 0.15106457667674408, 0.13298969810726005]"
GroupBalanceEqual,"[0.7018564699362705, 0.6877251316154059, 0.6885563868107509, 0.6882793017456359, 0.6913272374619008, 0.6896647270712108, 0.6799667497921862, 0.6794125796619562, 0.688002216680521, 0.6902188972014408, 0.6916043225270158, 0.6952064283735107, 0.6949293433083957, 0.6952064283735107, 0.6877251316154059, 0.6993627043502355, 0.686893876420061, 0.6877251316154059, 0.6943751731781657, 0.684677195899141, 0.6940980881130507, 0.683291770573566, 0.6877251316154059, 0.6954835134386257, 0.6960376835688556, 0.6769188140759214, 0.6965918536990856, 0.6882793017456359, 0.6896647270712108, 0.6985314491548905, 0.686339706289831, 0.6904959822665558, 0.6913272374619008, 0.6918814075921308, 0.7057356608478803, 0.6893876420060959, 0.6877251316154059, 0.688002216680521, 0.6935439179828208, 0.6924355777223608, 0.6982543640897756, 0.6899418121363259, 0.6893876420060959, 0.686062621224716, 0.6907730673316709, 0.6957605985037406, 0.6882793017456359, 0.6938210030479357, 0.6935439179828208, 0.6977001939595456]","[0.08338948787061995, 0.10067385444743937, 0.08511702767166329, 0.07549884620605407, 0.07520508613617727, 0.08579185169384707, 0.06247551823770103, 0.07138784928930175, 0.0542247744052502, 0.0778301886792453, 0.12758408531583265, 0.06056193601312554, 0.052628032345013565, 0.11940119063778631, 0.1097985223680894, 0.06671159029649598, 0.12352770075045083, 0.056337161607875386, 0.07687952064224635, 0.053014766201804786, 0.09073450134770888, 0.058364521320948715, 0.09272237196765498, 0.08275225594749802, 0.05152320192363635, 0.10871616078753077, 0.05867090694021604, 0.09298609629816368, 0.07852748154224776, 0.03712938005390842, 0.057783018867924585, 0.10373256767842498, 0.09848382749326146, 0.09649595687331536, 0.051353568498769486, 0.11792452830188682, 0.07516143419496213, 0.04192546583850931, 0.05391714520098445, 0.07823450134770893, 0.081233153638814, 0.08065310554790672, 0.05977088948787068, 0.06520584071826097, 0.07247304582210246, 0.06472371967654988, 0.14811320754716983, 0.055188679245283034, 0.06867304000465402, 0.10899595687331542]","[0.032864037675975566, 0.06736817722371968, 0.06446677604593931, 0.04275020508613614, 0.08593587640142197, 0.0705120317199891, 0.045066311184030705, 0.019782209772892023, 0.022443003144654194, 0.08380639868744877, 0.0937920426579163, 0.050280968006562676, 0.032427555806774144, 0.05977030352748158, 0.051793820071096563, 0.04454386645962727, 0.06675881512849835, 0.0315019141372711, 0.08449480448455016, 0.031158823030708716, 0.05609447634673226, 0.059196745966639375, 0.04276430468702286, 0.05804279464041573, 0.04630366420563303, 0.08602474706043206, 0.06360151397515523, 0.08156275635767019, 0.05093040743779054, 0.05016406890894176, 0.03941687175280284, 0.061866283839212444, 0.060341810226962056, 0.0575960791925465, 0.035676784249384697, 0.08229559748427684, 0.07155728739403888, 0.03744892384538634, 0.0619585726004922, 0.01522491112934099, 0.03259574348607375, 0.03902652447361232, 0.05507178014766201, 0.07567678424938473, 0.05300929723817327, 0.08002025843624894, 0.07238993710691832, 0.026253759912496677, 0.04428561662564945, 0.0546869018321029]","[0.07402963047870131, 0.1030619116530311, 0.10239565572478616, 0.10638602725201668, 0.1258292378891866, 0.10834181078331638, 0.12817904374364192, 0.1175762612296362, 0.11651956499935524, 0.10931970254896622, 0.1446885790838623, 0.12297436705686816, 0.12317137821844597, 0.09210450904818536, 0.09625248950467812, 0.11886578883269096, 0.07911610046852836, 0.12297436705686816, 0.12696473858409868, 0.12817904374364192, 0.10486008625506855, 0.11354648747009012, 0.1363173957273652, 0.13349834510624276, 0.10548693995099795, 0.1493058043070222, 0.11162652414998639, 0.10622841832275444, 0.12133021936297336, 0.11698880976602238, 0.11765506569426733, 0.1377645322596822, 0.10638602725201668, 0.13502428610319087, 0.10877165331766797, 0.144140529852564, 0.1178878970670411, 0.12215408422048056, 0.12215408422048056, 0.08439958161993324, 0.0945331193672718, 0.09828707750060894, 0.13584815096069808, 0.12590804235381772, 0.13690484719097903, 0.15982978235639678, 0.13815497256171821, 0.10834181078331638, 0.12919633774160733, 0.11448497700342442]"
GroupClassBalance,"[0.6952064283735107, 0.6916043225270158, 0.6954835134386257, 0.7015793848711555, 0.6899418121363259, 0.6982543640897756, 0.6904959822665558, 0.6982543640897756, 0.6891105569409809, 0.6907730673316709, 0.6918814075921308, 0.6932668329177057, 0.6929897478525907, 0.7004710446106955, 0.6949293433083957, 0.6938210030479357, 0.6891105569409809, 0.683291770573566, 0.7054585757827653, 0.6916043225270158, 0.6913272374619008, 0.6952064283735107, 0.7032418952618454, 0.6943751731781657, 0.6904959822665558, 0.6946522582432807, 0.6902188972014408, 0.6952064283735107, 0.6913272374619008, 0.6874480465502909, 0.6982543640897756, 0.6963147686339707, 0.6949293433083957, 0.6902188972014408, 0.686893876420061, 0.6938210030479357, 0.6935439179828208, 0.6960376835688556, 0.7043502355223054, 0.6899418121363259, 0.7018564699362705, 0.6993627043502355, 0.6821834303131061, 0.7101690218897202, 0.7013022998060404, 0.6918814075921308, 0.7032418952618454, 0.6918814075921308, 0.7024106400665004, 0.7004710446106955]","[0.06768622369185406, 0.1277648688502614, 0.0402950310559006, 0.10954466240672056, 0.08663814290182759, 0.043751954957772954, 0.0978671041837571, 0.0673136645962733, 0.06446333616336741, 0.05213034541311057, 0.1363617719442165, 0.06768622369185406, 0.07106550784217347, 0.06298315384959119, 0.08575003351356181, 0.06533468877072257, 0.0531788351107465, 0.04228852942490724, 0.04491934402788322, 0.08355489521426329, 0.06489901246704499, 0.10918785890073823, 0.07193686044952852, 0.08869364136020375, 0.10541427399507786, 0.03053085481925011, 0.10873666940114846, 0.08163903659680949, 0.08156275635767019, 0.06887036954287507, 0.05387732940332379, 0.06695451092542115, 0.09243232157506143, 0.03755138746145936, 0.10451189499589819, 0.09152994257588187, 0.061956521739130466, 0.1067574511819116, 0.06176191122573638, 0.05481366459627335, 0.11462264150943391, 0.05446512355333122, 0.11483980517449388, 0.12760459392945034, 0.11938647839492389, 0.07179722060860638, 0.09735131149738596, 0.05227645611156684, 0.08296282228875285, 0.08472228428437378]","[0.059668737060041444, 0.05296098427407325, 0.020932867250673892, 0.06985793039772076, 0.032222450095706845, 0.061924391577795945, 0.0364143908831952, 0.022719332298136607, 0.010759502324309556, 0.013624482401656368, 0.10484755263877493, 0.024479787608256753, 0.02672057853753651, 0.05463357088249948, 0.0454782393146862, 0.02765283139161595, 0.046907673395445215, 0.02481200437517095, 0.05547327898550719, 0.0505557834290401, 0.066132759092152, 0.06626059611703583, 0.03508222680079642, 0.03932936833470052, 0.09104047033087226, 0.057378040890269155, 0.069093879399586, 0.06407027618266337, 0.045514363354037246, 0.05403532608695649, 0.01429928903472788, 0.03111572474770552, 0.07621616078753068, 0.03086690566440009, 0.07558928083128247, 0.0640983046212743, 0.016678971834837242, 0.025946701421771523, 0.039803412813271044, 0.018865165631470004, 0.040644654088050236, 0.061665372670807406, 0.028547797854115042, 0.06380229696472517, 0.09132465913703897, 0.036848231400954334, 0.06477508887065897, 0.0418695005175983, 0.016176550020234104, 0.03259607919254659]","[0.1491804335678363, 0.16420343014342412, 0.09968764775837119, 0.16882065536658405, 0.13810840628716348, 0.11975771209147049, 0.14151132635078018, 0.12152006648231198, 0.11138652873497343, 0.1106808705744129, 0.17523605519178143, 0.11702104795609874, 0.12050277248434657, 0.1472640522688522, 0.14569870903958848, 0.12402389924490995, 0.1209720172510137, 0.11733268379350364, 0.1411602882810597, 0.14053343458513032, 0.14515065980829023, 0.13638545412863753, 0.1327103004599315, 0.12895276030547476, 0.1678427636009342, 0.11733268379350364, 0.15720057885461292, 0.15477555055664607, 0.14260742481337668, 0.13748155259123407, 0.10540097144412763, 0.13360938776095024, 0.1616601951485106, 0.11397247177928398, 0.1600948519192469, 0.14186236442050063, 0.09620592323012336, 0.1375603570558652, 0.1277880596649058, 0.11435960626423852, 0.1370517100568825, 0.14718524780422104, 0.14565930680727293, 0.1460891493416245, 0.18900892639663003, 0.1277880596649058, 0.1502371297981173, 0.1294220050721419, 0.1239844970125944, 0.13310074076196754]"
FairBalance,"[0.6827376004433361, 0.6794125796619562, 0.6927126627874758, 0.6844001108340261, 0.6819063452479911, 0.686893876420061, 0.6921584926572458, 0.6935439179828208, 0.6943751731781657, 0.7024106400665004, 0.6990856192851206, 0.6940980881130507, 0.6968689387642006, 0.6902188972014408, 0.6735937932945414, 0.7049044056525353, 0.6924355777223608, 0.6954835134386257, 0.7051814907176503, 0.6805209199224161, 0.6954835134386257, 0.6988085342200056, 0.6938210030479357, 0.6924355777223608, 0.6977001939595456, 0.6910501523967858, 0.688002216680521, 0.686893876420061, 0.7010252147409255, 0.6904959822665558, 0.6943751731781657, 0.6938210030479357, 0.6888334718758659, 0.686616791354946, 0.6877251316154059, 0.6910501523967858, 0.6932668329177057, 0.6993627043502355, 0.6935439179828208, 0.6960376835688556, 0.6791354945968412, 0.6882793017456359, 0.6913272374619008, 0.6838459407037961, 0.7046273205874204, 0.6988085342200056, 0.6913272374619008, 0.684677195899141, 0.6927126627874758, 0.6821834303131061]","[0.10676784249384752, 0.0880727762803235, 0.09046495956873324, 0.06027481542247737, 0.08490566037735858, 0.10731132075471705, 0.11023379819524204, 0.07139487870619954, 0.07882642672923657, 0.09363207547169816, 0.09091468416735038, 0.105557834290402, 0.08913494541294198, 0.06993437243642331, 0.0765791632485644, 0.10057424118129621, 0.062061994609164506, 0.059515996718621844, 0.08714109926169, 0.08429919137466313, 0.1390689089417556, 0.053881987577639734, 0.12779649595687337, 0.06344339622641515, 0.09086927223719676, 0.10057424118129621, 0.03884892086330938, 0.08088192518761272, 0.0799191374663073, 0.0531788351107465, 0.1374077112387203, 0.05491913746630728, 0.055896226415094286, 0.08880229696472519, 0.0374290629608115, 0.03463611859838267, 0.04656334231805925, 0.028338509316770177, 0.05347010801062657, 0.04418933855610918, 0.10333557951482486, 0.1368108747503345, 0.11270215633423186, 0.07476415094339628, 0.06670315921176106, 0.07461033634126335, 0.08089743838352503, 0.06661197703035282, 0.08714109926169, 0.08593109105824448]","[0.06505058791359042, 0.0343676510801203, 0.054955564670494894, 0.05180407437790535, 0.03919196062346186, 0.1279491386382281, 0.09011689909762105, 0.06580872299699209, 0.09186491659830465, 0.05292111019961715, 0.08379067541700852, 0.08111225047853432, 0.0456494394312279, 0.05598518824316795, 0.07237702187802214, 0.053620453923981404, 0.07203513809133172, 0.04117442208061994, 0.05357054963084501, 0.03099535138091336, 0.09286778780421112, 0.030262510254306818, 0.04776729559748427, 0.04531119406514533, 0.03126538146021329, 0.08028712059064802, 0.040350148321417256, 0.07704607601859448, 0.04554963084495495, 0.09158941755537325, 0.08037052228602692, 0.039306094720496954, 0.03720535958435878, 0.044843048068283986, 0.02994816692854274, 0.04922379069591526, 0.03976740424430636, 0.01921616200828158, 0.02787667487011214, 0.030505195515449723, 0.07323352474706046, 0.0866577796007657, 0.0667056330325404, 0.02910308996445171, 0.0633757178014766, 0.08730516817063172, 0.04252529395679516, 0.03663932184850971, 0.06050142339544512, 0.05963221219578885]","[0.15086398349404667, 0.10442307967847778, 0.11518347112174573, 0.13368819222558137, 0.11103549066525295, 0.1383018354276217, 0.15235052225867923, 0.1432342785093061, 0.13153539753270385, 0.1007049417563366, 0.15532359978794436, 0.14057283681744587, 0.10547977590875876, 0.1457775135042196, 0.16702248076454657, 0.1280930752367716, 0.13619202498817934, 0.12918917369936814, 0.12194990901666357, 0.10191924691587981, 0.15172366856274985, 0.10055091484819395, 0.10602782514005703, 0.13110555499835227, 0.1051287378390383, 0.12766323270242003, 0.13216225122863323, 0.10782599974209447, 0.12050277248434657, 0.1507457767971, 0.16866662845844138, 0.12508059547519093, 0.11138652873497343, 0.12210751794592581, 0.12774203716705113, 0.12903156477010588, 0.11944607625406559, 0.08822518017566232, 0.11412677489146475, 0.1079048042067256, 0.11142593096728898, 0.13274970269224706, 0.12562864470648918, 0.10230968721791583, 0.08313871018583525, 0.15184187525969653, 0.11960368518332784, 0.10892209820469101, 0.14585631796885073, 0.1385812330749502]"
