Treatment,Accuracy,EOD,AOD
None,0.86 \pm 0.03,0.07 \pm 0.04,0.05 \pm 0.03
GroupClassBalance,0.86 \pm 0.02,0.04 \pm 0.04,0.03 \pm 0.03
FairBalance,0.85 \pm 0.02,0.06 \pm 0.05,0.03 \pm 0.02
ST,0.88 \pm 0.02,0.05 \pm 0.04,0.03 \pm 0.02
