Treatment,Accuracy,EOD,AOD
None,0.90 \pm 0.00,0.13 \pm 0.03,0.09 \pm 0.01
GroupClassBalance,0.85 \pm 0.00,0.07 \pm 0.02,0.01 \pm 0.01
FairBalance,0.83 \pm 0.00,0.01 \pm 0.01,0.02 \pm 0.01
ST,0.85 \pm 0.00,0.02 \pm 0.02,0.04 \pm 0.01
